occupation,industry,year,employment
"All Occupation Groups, (Total Employed Residents)",All Industries,2024,2365.6
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2024,212.2
"All Occupation Groups, (Total Employed Residents)",Construction,2024,102.9
"All Occupation Groups, (Total Employed Residents)",Services,2024,2028.2
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2024,336
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2024,197.9
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2024,147.5
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2024,139.1
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2024,239.4
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2024,56.3
"All Occupation Groups, (Total Employed Residents)",Professional Services,2024,197.1
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2024,124
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2024,305.7
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2024,174.5
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2024,37.8
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2024,73
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2024,22.2
Managers & Administrators (Including Working Proprietors),All Industries,2024,404.9
Managers & Administrators (Including Working Proprietors),Manufacturing,2024,41.3
Managers & Administrators (Including Working Proprietors),Construction,2024,23.3
Managers & Administrators (Including Working Proprietors),Services,2024,336.3
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2024,82.9
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2024,19.3
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2024,12.4
Managers & Administrators (Including Working Proprietors),Information & Communications,2024,36.9
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2024,61.9
Managers & Administrators (Including Working Proprietors),Real Estate Services,2024,7.1
Managers & Administrators (Including Working Proprietors),Professional Services,2024,43
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2024,13
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2024,34.2
Managers & Administrators (Including Working Proprietors),Health & Social Services,2024,12.8
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2024,5.3
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2024,7.6
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2024,4.1
Professionals,All Industries,2024,619.9
Professionals,Manufacturing,2024,55.4
Professionals,Construction,2024,16.6
Professionals,Services,2024,542.3
Professionals,Wholesale & Retail Trade,2024,58
Professionals,Transportation & Storage,2024,18.2
Professionals,Accommodation & Food Services,2024,3.8
Professionals,Information & Communications,2024,65.2
Professionals,Financial & Insurance Services,2024,99.7
Professionals,Real Estate Services,2024,5.5
Professionals,Professional Services,2024,83.5
Professionals,Administrative & Support Services,2024,12.9
Professionals,Public Administration & Education Services,2024,108.4
Professionals,Health & Social Services,2024,69.8
Professionals,"Arts, Entertainment & Recreation",2024,6.9
Professionals,"Other Community, Social & Personal Services",2024,10.4
Professionals,Other Industries Nes,2024,5.6
Associate Professionals & Technicians,All Industries,2024,483.1
Associate Professionals & Technicians,Manufacturing,2024,51.2
Associate Professionals & Technicians,Construction,2024,22.8
Associate Professionals & Technicians,Services,2024,402.9
Associate Professionals & Technicians,Wholesale & Retail Trade,2024,63.2
Associate Professionals & Technicians,Transportation & Storage,2024,33.3
Associate Professionals & Technicians,Accommodation & Food Services,2024,15.5
Associate Professionals & Technicians,Information & Communications,2024,22.8
Associate Professionals & Technicians,Financial & Insurance Services,2024,44.8
Associate Professionals & Technicians,Real Estate Services,2024,27.4
Associate Professionals & Technicians,Professional Services,2024,43.4
Associate Professionals & Technicians,Administrative & Support Services,2024,16
Associate Professionals & Technicians,Public Administration & Education Services,2024,69.7
Associate Professionals & Technicians,Health & Social Services,2024,43.4
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2024,10.7
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2024,12.9
Associate Professionals & Technicians,Other Industries Nes,2024,6.2
Clerical Support Workers,All Industries,2024,209.6
Clerical Support Workers,Manufacturing,2024,18.8
Clerical Support Workers,Construction,2024,12.8
Clerical Support Workers,Services,2024,176.6
Clerical Support Workers,Wholesale & Retail Trade,2024,36.8
Clerical Support Workers,Transportation & Storage,2024,21
Clerical Support Workers,Accommodation & Food Services,2024,9.2
Clerical Support Workers,Information & Communications,2024,7.6
Clerical Support Workers,Financial & Insurance Services,2024,23
Clerical Support Workers,Real Estate Services,2024,5.5
Clerical Support Workers,Professional Services,2024,16.1
Clerical Support Workers,Administrative & Support Services,2024,11.6
Clerical Support Workers,Public Administration & Education Services,2024,15.6
Clerical Support Workers,Health & Social Services,2024,19.1
Clerical Support Workers,"Arts, Entertainment & Recreation",2024,3.6
Clerical Support Workers,"Other Community, Social & Personal Services",2024,7.5
Clerical Support Workers,Other Industries Nes,2024,1.4
Service & Sales Workers,All Industries,2024,241.8
Service & Sales Workers,Manufacturing,2024,6.8
Service & Sales Workers,Construction,2024,1.4
Service & Sales Workers,Services,2024,233
Service & Sales Workers,Wholesale & Retail Trade,2024,57.4
Service & Sales Workers,Transportation & Storage,2024,9.1
Service & Sales Workers,Accommodation & Food Services,2024,63.8
Service & Sales Workers,Information & Communications,2024,1.4
Service & Sales Workers,Financial & Insurance Services,2024,3.3
Service & Sales Workers,Real Estate Services,2024,3.6
Service & Sales Workers,Professional Services,2024,2.7
Service & Sales Workers,Administrative & Support Services,2024,28.1
Service & Sales Workers,Public Administration & Education Services,2024,15.9
Service & Sales Workers,Health & Social Services,2024,18.6
Service & Sales Workers,"Arts, Entertainment & Recreation",2024,9
Service & Sales Workers,"Other Community, Social & Personal Services",2024,20
Service & Sales Workers,Other Industries Nes,2024,0.5
Craftsmen & Related Trades Workers,All Industries,2024,54.8
Craftsmen & Related Trades Workers,Manufacturing,2024,14.6
Craftsmen & Related Trades Workers,Construction,2024,14.3
Craftsmen & Related Trades Workers,Services,2024,25.2
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2024,8.3
Craftsmen & Related Trades Workers,Transportation & Storage,2024,2.1
Craftsmen & Related Trades Workers,Accommodation & Food Services,2024,1.2
Craftsmen & Related Trades Workers,Information & Communications,2024,1.1
Craftsmen & Related Trades Workers,Financial & Insurance Services,2024,1.1
Craftsmen & Related Trades Workers,Real Estate Services,2024,1.5
Craftsmen & Related Trades Workers,Professional Services,2024,2.7
Craftsmen & Related Trades Workers,Administrative & Support Services,2024,2
Craftsmen & Related Trades Workers,Public Administration & Education Services,2024,1.3
Craftsmen & Related Trades Workers,Health & Social Services,2024,0.4
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2024,0.4
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2024,3.1
Craftsmen & Related Trades Workers,Other Industries Nes,2024,0.7
Plant & Machine Operators & Assemblers,All Industries,2024,128.4
Plant & Machine Operators & Assemblers,Manufacturing,2024,13.5
Plant & Machine Operators & Assemblers,Construction,2024,5.5
Plant & Machine Operators & Assemblers,Services,2024,107.9
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2024,13.3
Plant & Machine Operators & Assemblers,Transportation & Storage,2024,78.9
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2024,2.1
Plant & Machine Operators & Assemblers,Information & Communications,2024,1.9
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2024,1.8
Plant & Machine Operators & Assemblers,Real Estate Services,2024,0.5
Plant & Machine Operators & Assemblers,Professional Services,2024,2.1
Plant & Machine Operators & Assemblers,Administrative & Support Services,2024,3.3
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2024,0.4
Plant & Machine Operators & Assemblers,Health & Social Services,2024,1.3
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2024,0.2
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2024,2.3
Plant & Machine Operators & Assemblers,Other Industries Nes,2024,1.3
"Cleaners, Labourers & Related Workers",All Industries,2024,165.7
"Cleaners, Labourers & Related Workers",Manufacturing,2024,10.5
"Cleaners, Labourers & Related Workers",Construction,2024,6.1
"Cleaners, Labourers & Related Workers",Services,2024,146.9
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2024,15.7
"Cleaners, Labourers & Related Workers",Transportation & Storage,2024,15.9
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2024,39.4
"Cleaners, Labourers & Related Workers",Information & Communications,2024,2.4
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2024,3.8
"Cleaners, Labourers & Related Workers",Real Estate Services,2024,5.1
"Cleaners, Labourers & Related Workers",Professional Services,2024,3.5
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2024,35.9
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2024,5.6
"Cleaners, Labourers & Related Workers",Health & Social Services,2024,9
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2024,1.6
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2024,9.1
"Cleaners, Labourers & Related Workers",Other Industries Nes,2024,2.1
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2024,57.4
"Cleaners, Labourers & Related Workers",Manufacturing,2024,0
"Cleaners, Labourers & Related Workers",Construction,2024,0.1
"Cleaners, Labourers & Related Workers",Services,2024,57
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2024,0.6
"Cleaners, Labourers & Related Workers",Transportation & Storage,2024,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2024,0.1
"Cleaners, Labourers & Related Workers",Information & Communications,2024,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2024,0.1
"Cleaners, Labourers & Related Workers",Real Estate Services,2024,0.1
"Cleaners, Labourers & Related Workers",Professional Services,2024,0.1
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2024,1.2
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2024,54.6
"Cleaners, Labourers & Related Workers",Health & Social Services,2024,0.1
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2024,0.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2024,0.1
"Cleaners, Labourers & Related Workers",Other Industries Nes,2024,0.3
"All Occupation Groups, (Total Employed Residents)",All Industries,2023,2352.3
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2023,212
"All Occupation Groups, (Total Employed Residents)",Construction,2023,94.3
"All Occupation Groups, (Total Employed Residents)",Services,2023,2024.8
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2023,335.8
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2023,214.3
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2023,139.5
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2023,136
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2023,236.2
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2023,57.2
"All Occupation Groups, (Total Employed Residents)",Professional Services,2023,199.8
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2023,125.2
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2023,305.6
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2023,168.4
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2023,35.6
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2023,71.3
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2023,21.3
Managers & Administrators (Including Working Proprietors),All Industries,2023,369.9
