,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Male Residents Aged 15 Years And Over By Occupation And Age Group, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
"All Occupation Groups, (Total Employed Male Residents)",1238,1244,1256.2,1220.3,1198.1,1202.5,1197.2,1189.4,1178.4,1171.8,1161,1142.3,1138.1,1118.8,1106.6,1066.2,1053.6,1038.4,959.7,960.8,948.7,937.7,938.4,889.5
  Managers & Administrators (Including Working Proprietors),242.6,223.4,243.5,233.6,231.4,231,219.2,230.6,220.2,235.2,233.3,239.8,238.8,243.5,232.7,214.1,208.2,195.9,163.9,174.9,179.9,172.4,174.6,163
  Professionals,311.5,314.7,317.3,300.5,260.5,238,236,229,215.1,209.3,205.3,195.5,198.9,183.2,207.4,192,187.6,172.3,141.5,144.3,137.7,134.3,131.4,106.9
  Associate Professionals & Technicians,241.5,246.3,244.6,235.1,231.7,243.2,242.5,224.8,229.9,214.6,202.7,195.1,184.6,182.6,167.1,158.2,161.5,151.8,135.5,143.3,130.3,129.7,132.6,134.1
  Clerical Support Workers,48,49.5,49.6,52,51.7,56.3,59.9,58.4,60,63.3,66.4,65.1,61.4,57.2,52.9,56.6,57.7,54.8,55.3,48.8,50.9,49.8,50.9,49.2
  Service & Sales Workers,102.1,112.6,107.9,106.8,107.6,111.7,115.5,108.3,115.6,113,110.7,112.1,115.7,107.4,108.9,107.9,105.1,114.9,126,103.3,104.1,107.3,103.5,102.1
  Craftsmen & Related Trade Workers,46.5,48,44.3,48.1,53.7,58.8,60.9,67.1,69.8,74.2,75.2,74.9,81.7,82.1,78,79.4,81.3,85.9,101.9,89.3,89.7,96.2,94.4,97.9
  Plant & Machine Operators & Assemblers,116.8,119.7,122.4,122.5,137.2,136.8,130.4,136,132.6,128.7,126.4,125,124.8,131.7,126.3,130.4,126.4,130.7,130.9,122.6,122.4,127,129.3,128.1
"  Cleaners, Labourers & Related Workers",73.1,72,73.2,67.1,65.3,64.4,66.2,68.4,65.6,65.6,72.1,67.3,64.7,62.9,66.6,64.9,63.7,70.6,51.3,65.1,65.6,60.1,58.6,56.6
  Others,55.8,57.9,53.5,54.7,59,62.4,66.6,67,69.7,67.9,68.9,67.6,67.7,68.2,66.7,62.6,62.2,61.6,53.6,69.3,68.2,60.9,63.2,51.6
Employed Male Residents Aged 15 - 19 Years,16.4,16.9,17,15.9,18.1,20.8,23.3,22.3,22.2,22.9,18.5,17.5,18.4,20.4,22.9,17,18.8,20.4,12.5,14.1,14.1,13.2,18.9,15.3
  Managers & Administrators (Including Working Proprietors),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-,-,-,-,-,-
  Professionals,0.4,0.1,0.1,0.1,-,0.1,-,0.1,0.2,0.1,-,0.1,0.1,0.1,0.2,-,0.2,0.2,-,0.1,-,-,0.2,-
  Associate Professionals & Technicians,1.3,0.9,1,0.8,0.6,0.4,0.7,0.5,0.8,0.8,0.4,0.2,0.7,0.2,0.4,0.4,0.3,0.4,-,0.3,0.1,0.2,0.4,0.1
  Clerical Support Workers,1.2,1.2,1.2,1.6,1.2,2,2.2,1.6,1,1.7,0.9,1.3,1,1.4,0.7,0.7,0.9,0.9,0.3,0.7,0.6,0.5,0.6,0.3
  Service & Sales Workers,2.3,3,2.2,2.5,2.4,2.9,3.6,3.1,3,3.1,3.5,3.2,3.1,3.4,3.9,2.7,3.6,3.4,1.8,2.4,2.4,2.5,3.2,3
  Craftsmen & Related Trade Workers,0.5,0.1,0.4,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.2,0.3,0.1,-,0.2,0.3,-,0.1,0.2,0.3,0.4,0.5,0.3
  Plant & Machine Operators & Assemblers,0.4,0.1,0.8,0.4,0.7,0.6,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.3,0.4,0.2,0.2,0.3,0.2,0.2,0.2
"  Cleaners, Labourers & Related Workers",0.7,1.1,1.1,1.6,1,0.7,0.9,1.2,0.9,1.2,1.1,1,1.1,1.4,1.2,0.9,1.3,1.1,0.5,1,1,0.9,1.3,0.6
  Others,9.7,10.4,10.2,8.9,12,13.9,15.2,15.6,15.9,15.6,12.2,11.3,11.9,13.6,16,11.8,12,14.1,9.5,9.3,9.5,8.5,12.5,10.6
Employed Male Residents Aged 20 - 24 Years,59.1,61.1,57.4,63.2,60.3,68.8,70.9,73.4,78.8,77.4,79.3,79,84.5,76.7,75.9,70.2,70.1,67.9,61.2,69.7,66.7,65.9,69.3,61.5
  Managers & Administrators (Including Working Proprietors),0.3,0.2,0.4,0.4,0.1,0.3,0.2,0.3,0.4,0.7,0.6,0.6,0.6,0.6,1.2,0.8,0.9,0.9,0.6,0.7,0.4,0.5,0.9,1.2
  Professionals,4.1,4.8,3.4,3.8,2,2.8,2.4,2.5,1.9,2.6,2.1,2.3,3.6,3.4,5.2,3.6,4.8,4.1,2.8,2.2,2.6,2.8,4.1,3.3
  Associate Professionals & Technicians,7.9,7,8,7.3,7.1,8.6,9,8.1,10.2,8.9,8,8.2,9.3,8.2,8.1,6.9,7.8,8.5,7.4,5.6,5.4,5.8,7.1,7
  Clerical Support Workers,4,4.8,4.9,7.1,5.5,7.6,8.9,7.9,9,9.3,9.6,8.9,9.1,7.6,7.6,7.1,7.5,5.8,4.3,3.5,2.2,2,3.5,3.3
  Service & Sales Workers,7,6.7,5.7,6.6,6.6,9.5,8.3,9.3,10.6,10.9,10.3,9.4,10.9,9.6,10.6,9.5,8.6,10.1,11.9,8.1,7.4,8.1,8.4,10.2
  Craftsmen & Related Trade Workers,1.5,1.3,1.3,1.2,1.8,1.4,1.4,2,2.6,2.6,1.9,2,2,1.6,1.7,1.1,1.8,2.4,2.7,2.2,2.3,2.6,2.9,3.5
  Plant & Machine Operators & Assemblers,1.7,2.3,2.7,3.6,3.3,3,2.3,3.5,2.6,2.2,1.9,2.1,2.4,2.5,2.4,2.9,2,2.6,2.5,2.3,2,2.7,2,3
"  Cleaners, Labourers & Related Workers",1.8,3.4,3.5,3,2.3,2,2.7,2.7,2.1,2.4,2.9,2.6,2.7,2.1,2,2.1,1.8,1.8,2.2,3.5,1.9,2,2.2,2.2
  Others,30.8,30.5,27.6,30.3,31.6,33.8,35.7,37.3,39.2,37.8,42.2,42.8,44.1,41,37,36.3,34.8,31.8,26.9,41.8,42.5,39.3,38.2,27.6
