,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,
Topic: Employment,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Female Residents Aged 15 Years And Over By Occupation And Age Group, (June), Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
"All Occupation Groups, (Total Employed Female Residents)",1127.6,1108.3,1094.2,1066.2,1024.6,1027.9,1006.5,985.9,986.9,976,942.5,913.8,902.5,880.1,856.4,803.2,798.5,764.8,687.6,671.3,656.6,636,644,593.1
  Managers & Administrators (Including Working Proprietors),162.2,146.5,164.2,144,136.9,133.9,122.4,118.3,117.3,120.6,118,120.7,120.2,123.5,119.7,96.7,95.1,85.4,67.8,67.1,63.3,60.9,58.7,58.4
  Professionals,308.4,305.9,283.6,277,243.7,231.4,213.3,208.6,204.7,194.8,178,176.4,171.1,165.2,168.3,149.8,146.9,137.4,117.4,105.6,109.4,102,101.6,89.6
  Associate Professionals & Technicians,241.7,236.2,241,230.7,226.5,224.7,222.5,211.4,208.2,193.7,188.9,164.3,155.8,154.5,136.3,151.5,146.3,137.7,120.2,116.5,110.5,104.7,105.6,100.4
  Clerical Support Workers,161.6,158.4,162.2,171.4,163.9,180.9,181.1,189.5,184.9,204.4,202,206.6,204.3,192.1,190.7,179.9,179.3,176.4,165.5,171.6,168.2,168.1,171,155.7
  Service & Sales Workers,139.7,145.4,133.3,132.5,144.7,146,147.2,139.7,146.8,138.5,133.6,132.6,136.8,127.4,125.6,111,114.2,110.6,118.4,100.2,92.7,91.5,97.2,82.6
  Craftsmen & Related Trade Workers,8.3,10.7,9,9.8,8.7,8.9,9.1,8.9,9.4,9.7,6.9,7.3,8.8,7.4,8.5,9.3,9.5,9.7,9.1,7.9,8.3,8.9,8.1,9.4
  Plant & Machine Operators & Assemblers,11.6,12.3,13.3,14.5,14.5,14.6,17.5,15.5,18.6,17.4,19.5,21.9,23.9,25.9,26.3,28,31,33.3,38.9,41.6,44.3,44.2,44.3,47.6
"  Cleaners, Labourers & Related Workers",92.6,90.2,85.1,84.4,84.2,85.1,90.2,92.1,95.1,94.7,93.8,82.9,80.6,82.8,78.9,76.1,74.9,73,48,58.8,58.3,54.7,55.9,47.2
  Others,1.6,2.8,2.3,1.8,1.4,2.4,3.2,1.9,1.9,2.1,1.9,1.1,0.9,1.4,2,0.9,1.2,1.5,2.3,1.9,1.6,1.1,1.7,2.3
Employed Female Residents Aged 15 - 19 Years,8.6,13.4,9.8,11,8.2,11.8,12.1,10.3,12.8,14,10.1,11.4,12.5,10.6,14,10.5,12.6,12.9,7.8,11,9.2,9,11.7,10.7
  Managers & Administrators (Including Working Proprietors),na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.1,-,-,0.1,-,-,-,-,-,0.2
  Professionals,0.3,0.4,0.1,0.1,0.1,0.2,0.3,0.1,-,0.1,0.2,0.3,0.3,0.2,0.6,-,0.3,0.4,0.1,0.2,0.2,0.2,0.2,0.1
  Associate Professionals & Technicians,1,2.2,1.9,1.4,1,1.1,1.3,0.8,1.3,1.3,0.9,1.4,1.6,1.1,2,1,1.9,1.7,0.7,0.9,1,0.9,1.3,1
  Clerical Support Workers,2,2.2,2.2,4,2.3,3.3,3.7,3.1,3.1,4.5,3.2,3.4,4.5,3.5,4.6,3.5,4.6,3.4,2,2.6,2,2.4,4.5,4.7
  Service & Sales Workers,4.2,7.3,4.5,4.2,3.7,5.8,5.8,5.4,7,6.7,4.7,5.4,5.4,5.1,6,5.1,5.1,6.9,4.3,6.1,4.8,4.7,5.1,3.8
  Craftsmen & Related Trade Workers,0.1,0.1,0.1,-,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-,0.1,-,-,-,0.1,0.1,0.1,0.1,-,0.1
  Plant & Machine Operators & Assemblers,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-,-,0.1,0.1,0.1,0.4,0.6,0.3,0.4,0.2,0.5
