gender,occupation,year,value
Male,Managers & Administrators (Including Working Proprietors),2023,11297.0
Female,Managers & Administrators (Including Working Proprietors),2023,10020.0
Male,Professionals,2023,8620.0
Female,Professionals,2023,7520.0
Male,Associate Professionals & Technicians,2023,4680.0
Female,Associate Professionals & Technicians,2023,4680.0
Male,Clerical Support Workers,2023,3194.0
Female,Clerical Support Workers,2023,3413.0
Male,Service & Sales Workers,2023,3038.0
Female,Service & Sales Workers,2023,2535.0
Male,Craftsmen & Related Trades Workers,2023,3000.0
Female,Craftsmen & Related Trades Workers,2023,2319.0
Male,Plant & Machine Operators & Assemblers,2023,2500.0
Female,Plant & Machine Operators & Assemblers,2023,2106.0
Male,"Cleaners, Labourers & Related Workers",2023,1872.0
Female,"Cleaners, Labourers & Related Workers",2023,1832.0
Male,Managers & Administrators (Including Working Proprietors),2022,10586.0
Female,Managers & Administrators (Including Working Proprietors),2022,9800.0
Male,Professionals,2022,8190.0
Female,Professionals,2022,7220.0
Male,Associate Professionals & Technicians,2022,4563.0
Female,Associate Professionals & Technicians,2022,4437.0
Male,Clerical Support Workers,2022,2984.0
Female,Clerical Support Workers,2022,3296.0
Male,Service & Sales Workers,2022,3042.0
Female,Service & Sales Workers,2022,2409.0
Male,Craftsmen & Related Trades Workers,2022,2890.0
Female,Craftsmen & Related Trades Workers,2022,2150.0
Male,Plant & Machine Operators & Assemblers,2022,2421.0
Female,Plant & Machine Operators & Assemblers,2022,2000.0
Male,"Cleaners, Labourers & Related Workers",2022,1851.0
Female,"Cleaners, Labourers & Related Workers",2022,1669.0
Male,Managers & Administrators (Including Working Proprietors),2021,9975.0
Female,Managers & Administrators (Including Working Proprietors),2021,9251.0
Male,Professionals,2021,7371.0
Female,Professionals,2021,6542.0
Male,Associate Professionals & Technicians,2021,4212.0
Female,Associate Professionals & Technicians,2021,4095.0
Male,Clerical Support Workers,2021,2905.0
Female,Clerical Support Workers,2021,3066.0
Male,Service & Sales Workers,2021,2925.0
Female,Service & Sales Workers,2021,2340.0
Male,Craftsmen & Related Trades Workers,2021,2925.0
Female,Craftsmen & Related Trades Workers,2021,2202.0
Male,Plant & Machine Operators & Assemblers,2021,2155.0
Female,Plant & Machine Operators & Assemblers,2021,2112.0
Male,"Cleaners, Labourers & Related Workers",2021,1718.0
Female,"Cleaners, Labourers & Related Workers",2021,1635.0
Male,Managers & Administrators (Including Working Proprietors),2020,10075.0
Female,Managers & Administrators (Including Working Proprietors),2020,9800.0
Male,Professionals,2020,7371.0
Female,Professionals,2020,6435.0
Male,Associate Professionals & Technicians,2020,4241.0
Female,Associate Professionals & Technicians,2020,4095.0
Male,Clerical Support Workers,2020,2662.0
Female,Clerical Support Workers,2020,2916.0
Male,Service & Sales Workers,2020,2633.0
Female,Service & Sales Workers,2020,2195.0
Male,Craftsmen & Related Trades Workers,2020,2765.0
Female,Craftsmen & Related Trades Workers,2020,2106.0
Male,Plant & Machine Operators & Assemblers,2020,2000.0
Female,Plant & Machine Operators & Assemblers,2020,1901.0
Male,"Cleaners, Labourers & Related Workers",2020,1631.0
Female,"Cleaners, Labourers & Related Workers",2020,1521.0
Male,Managers & Administrators (Including Working Proprietors),2019,10190.0
Female,Managers & Administrators (Including Working Proprietors),2019,9421.0
Male,Professionals,2019,7805.0
Female,Professionals,2019,6580.0
Male,Associate Professionals & Technicians,2019,4563.0
Female,Associate Professionals & Technicians,2019,4307.0
Male,Clerical Support Workers,2019,2779.0
Female,Clerical Support Workers,2019,3060.0
Male,Service & Sales Workers,2019,2849.0
Female,Service & Sales Workers,2019,2340.0
Male,Craftsmen & Related Trades Workers,2019,3168.0
Female,Craftsmen & Related Trades Workers,2019,2362.0
Male,Plant & Machine Operators & Assemblers,2019,2340.0
Female,Plant & Machine Operators & Assemblers,2019,1840.0
Male,"Cleaners, Labourers & Related Workers",2019,1638.0
Female,"Cleaners, Labourers & Related Workers",2019,1521.0
Male,Managers & Administrators (Including Working Proprietors),2018,10146.0
